startTime,date,count,over,cTime,gTime,bTime,coffee,endTime,notes,,
12:30 PM,11/26/2020,173,na,1:58,2:07,3:24,starbucks brazil,12:45 PM,,,
10:27 AM,12/3/2020,173,-3,2:31,1:54,2:34,starbucks brazil,10:42 AM,,,
11:35 AM,12/4/2020,173,17,3:55,1:35,2:19,starbucks brazil,11:50 AM,,,
14:45 PM,12/5/2020,173,-20,1:50,2:00,2:15,starbucks brazil,12:56 PM,,,
11:18 AM,12/6/2020,173,-8,1:59,2:03,2:13,starbucks brazil,11:28 PM,,,
9:31 AM,12/8/2020,173,-16,2:23,1:42,2:15,starbucks brazil,9:41 AM,,,
9:16 AM,12/9/2020,173,19,1:33,1:49,2:15,starbucks brazil,9:34 AM,"time is early, start time, started water and swept kitchen hehe",,
9:13 AM,12/10/2020,173,27,1:38,1:42,2:24,starbucks brazil,9:24 PM,,,
7:35 PM,12/10/2020,173,18,1:37,1:34,2:20,starbucks brazil,7:45 AM,,,
8:59 AM,12/11/2020,173,-7,1:55,1:40,2:13,starbucks brazil,9:10 AM,,,
6:55 PM,12/11/2020,173,17,1:42,1:37,2:05,starbucks brazil,7:09 PM,,,
11:46 AM,12/12/2020,173,32,2:30,1:37,3:57,starbucks brazil,12:02 PM,was talking,,
10:26 AM,12/15/2020,173,79,1:40,1:36,2:19,starbucks brazil,10:40 AM,,,
11:05 AM,12/17/2020,173,10,1:29,1:46,3:41,madcap el porvenir (el salvador),11:19 AM,,,
11:09 AM,12/19/2020,173,4,1:25,1:31,3:55,madcap el porvenir (el salvador),11:24 AM,,,
10:57 AM,12/20/2020,173,17,1:30,1:40,3:50,madcap el porvenir (el salvador),11:07 AM,,,
9:54 AM,12/22/2020,173,25,1:32,1:41,3:42,madcap el porvenir (el salvador),10:06 AM,,,
10:35 AM,12/23/2020,173,45,1:33,1:30,3:45,red catuai (Honduras Rosse),10:52 AM,,,
8:59 AM,12/24/2020,173,31,1:28,1:34,2:37,red catuai (Honduras Rosse),9:10 AM,,,
11:30 AM,12/26/2020,173,33,1:31,1:40,3:56,red catuai (Honduras Rosse),11:40 AM,,,
